,"formula is  #=LEFT(B3,FIND(""_"",B3)-1)",,,Formula
2024,Trioceros_tempeli,Trioceros,,Trioceros
2025,Trioceros_fuelleborni,Trioceros,,Trioceros
2026,Trioceros_goetzei,Trioceros,,Trioceros
2027,Trioceros_jacksonii,Trioceros,,Trioceros
2028,Trioceros_bitaeniatus,Trioceros,,Trioceros
2029,Trioceros_schubotzi,Trioceros,,Trioceros
2030,Trioceros_narraioca,Trioceros,,Trioceros
2031,Trioceros_hoehnelii,Trioceros,,Trioceros
2032,Trioceros_ellioti,Trioceros,,Trioceros
2033,Trioceros_rudis,Trioceros,,Trioceros
2034,Trioceros_sternfeldi,Trioceros,,Trioceros
2035,Calumma_furcifer,Calumma,,Calumma
2036,Calumma_gastrotaenia,Calumma,,Calumma
2037,Rieppeleon_kerstenii,Rieppeleon,,Rieppeleon
2038,Rieppeleon_brevicaudatus,Rieppeleon,,Rieppeleon
2039,Rieppeleon_brachyurus,Rieppeleon,,Rieppeleon
2040,Furcifer_balteatus,Furcifer,,Furcifer
2041,Furcifer_bifidus,Furcifer,,Furcifer
2042,Furcifer_minor,Furcifer,,Furcifer
2043,Furcifer_willsii,Furcifer,,Furcifer
2044,Furcifer_petteri,Furcifer,,Furcifer
2045,Furcifer_campani,Furcifer,,Furcifer
2046,Furcifer_angeli,Furcifer,,Furcifer
2047,Furcifer_pardalis,Furcifer,,Furcifer
2048,Furcifer_cephalolepis,Furcifer,,Furcifer
2049,Furcifer_polleni,Furcifer,,Furcifer
2050,Furcifer_oustaleti,Furcifer,,Furcifer
2051,Furcifer_verrucosus,Furcifer,,Furcifer
2052,Furcifer_belalandaensis,Furcifer,,Furcifer
2053,Furcifer_lateralis,Furcifer,,Furcifer
2054,Furcifer_antimena,Furcifer,,Furcifer
2055,Furcifer_labordi,Furcifer,,Furcifer
2056,Calumma_cucullatum,Calumma,,Calumma
2057,Calumma_crypticum,Calumma,,Calumma
2058,Calumma_brevicorne,Calumma,,Calumma
2059,Calumma_tsaratananense,Calumma,,Calumma
2060,Calumma_guibei,Calumma,,Calumma
2061,Calumma_hilleniusi,Calumma,,Calumma
2062,Calumma_malthe,Calumma,,Calumma
2063,Calumma_gallus,Calumma,,Calumma
2064,Calumma_fallax,Calumma,,Calumma
2065,Calumma_nasutum,Calumma,,Calumma
2066,Calumma_boettgeri,Calumma,,Calumma
2067,Nadzikambia_mlanjensis,Nadzikambia,,Nadzikambia
2068,Rhampholeon_spectrum,Rhampholeon,,Rhampholeon
2069,Rhampholeon_temporalis,Rhampholeon,,Rhampholeon
2070,Rhampholeon_viridis,Rhampholeon,,Rhampholeon
2071,Rhampholeon_spinosus,Rhampholeon,,Rhampholeon
2072,Rhampholeon_marshalli,Rhampholeon,,Rhampholeon
2073,Rhampholeon_uluguruensis,Rhampholeon,,Rhampholeon
2074,Rhampholeon_moyeri,Rhampholeon,,Rhampholeon
2075,Rhampholeon_acuminatus,Rhampholeon,,Rhampholeon
2076,Rhampholeon_boulengeri,Rhampholeon,,Rhampholeon
2077,Rhampholeon_beraduccii,Rhampholeon,,Rhampholeon
2078,Rhampholeon_nchisiensis,Rhampholeon,,Rhampholeon
2079,Rhampholeon_chapmanorum,Rhampholeon,,Rhampholeon
2080,Rhampholeon_platyceps,Rhampholeon,,Rhampholeon
2081,Saara_hardwickii,Saara,,Saara
2082,Saara_asmussi,Saara,,Saara
2083,Saara_loricata,Saara,,Saara
2084,Uromastyx_princeps,Uromastyx,,Uromastyx
2085,Uromastyx_macfadyeni,Uromastyx,,Uromastyx
2086,Uromastyx_geyri,Uromastyx,,Uromastyx
2087,Uromastyx_acanthinura,Uromastyx,,Uromastyx
2088,Uromastyx_dispar,Uromastyx,,Uromastyx
2089,Uromastyx_thomasi,Uromastyx,,Uromastyx
2090,Uromastyx_aegyptia2,Uromastyx,,Uromastyx
2091,Uromastyx_aegyptia,Uromastyx,,Uromastyx
2092,Uromastyx_ocellata,Uromastyx,,Uromastyx
2093,Uromastyx_ornata,Uromastyx,,Uromastyx
2094,Uromastyx_benti,Uromastyx,,Uromastyx
2095,Uromastyx_yemenensis,Uromastyx,,Uromastyx
2096,Leiolepis_guttata,Leiolepis,,Leiolepis
2097,Leiolepis_guentherpetersi,Leiolepis,,Leiolepis
2098,Leiolepis_reevesii,Leiolepis,,Leiolepis
2099,Leiolepis_belliana,Leiolepis,,Leiolepis
2100,Hydrosaurus_sp,Hydrosaurus,,Hydrosaurus
2101,Physignathus_cocincinus,Physignathus,,Physignathus
2102,Moloch_horridus,Moloch,,Moloch
2103,Chelosania_brunnea,Chelosania,,Chelosania
2104,Hypsilurus_modestus,Hypsilurus,,Hypsilurus
2105,Hypsilurus_papuensis,Hypsilurus,,Hypsilurus
2106,Hypsilurus_bruijnii,Hypsilurus,,Hypsilurus
2107,Hypsilurus_nigrigularis,Hypsilurus,,Hypsilurus
2108,Hypsilurus_spinipes,Hypsilurus,,Hypsilurus
2109,Hypsilurus_dilophus,Hypsilurus,,Hypsilurus
2110,Hypsilurus_boydii,Hypsilurus,,Hypsilurus
2111,Intellagama_lesueurii,Intellagama,,Intellagama
2112,Ctenophorus_adelaidensis,Ctenophorus,,Ctenophorus
2113,Ctenophorus_clayi,Ctenophorus,,Ctenophorus
2114,Ctenophorus_maculosus,Ctenophorus,,Ctenophorus
2115,Ctenophorus_cristatus,Ctenophorus,,Ctenophorus
2116,Ctenophorus_salinarum,Ctenophorus,,Ctenophorus
2117,Ctenophorus_gibba,Ctenophorus,,Ctenophorus
2118,Ctenophorus_nuchalis,Ctenophorus,,Ctenophorus
2119,Ctenophorus_reticulatus,Ctenophorus,,Ctenophorus
2120,Ctenophorus_rufescens,Ctenophorus,,Ctenophorus
2121,Ctenophorus_tjantjalka,Ctenophorus,,Ctenophorus
2122,Ctenophorus_vadnappa,Ctenophorus,,Ctenophorus
2123,Ctenophorus_fionni,Ctenophorus,,Ctenophorus
2124,Ctenophorus_decresii,Ctenophorus,,Ctenophorus
2125,Ctenophorus_caudicinctus,Ctenophorus,,Ctenophorus
2126,Ctenophorus_ornatus,Ctenophorus,,Ctenophorus
2127,Ctenophorus_isolepis,Ctenophorus,,Ctenophorus
2128,Ctenophorus_scutulatus,Ctenophorus,,Ctenophorus
2129,Ctenophorus_mckenziei,Ctenophorus,,Ctenophorus
2130,Ctenophorus_pictus,Ctenophorus,,Ctenophorus
2131,Ctenophorus_maculatus,Ctenophorus,,Ctenophorus
2132,Ctenophorus_femoralis,Ctenophorus,,Ctenophorus
2133,Ctenophorus_fordi,Ctenophorus,,Ctenophorus
2134,Lophognathus_longirostris,Lophognathus,,Lophognathus
2135,Lophognathus_temporalis,Lophognathus,,Lophognathus
2136,Chlamydosaurus_kingii,Chlamydosaurus,,Chlamydosaurus
2137,Lophognathus_gilberti,Lophognathus,,Lophognathus
2138,Amphibolurus_norrisi,Amphibolurus,,Amphibolurus
2139,Amphibolurus_muricatus,Amphibolurus,,Amphibolurus
2140,Rankinia_diemensis,Rankinia,,Rankinia
2141,Pogona_barbata,Pogona,,Pogona
2142,Pogona_nullarbor,Pogona,,Pogona
2143,Pogona_minima,Pogona,,Pogona
2144,Pogona_henrylawsoni,Pogona,,Pogona
2145,Pogona_vitticeps,Pogona,,Pogona
2146,Pogona_minor,Pogona,,Pogona
2147,Tympanocryptis_uniformis,Tympanocryptis,,Tympanocryptis
2148,Tympanocryptis_tetraporophora,Tympanocryptis,,Tympanocryptis
2149,Tympanocryptis_intima,Tympanocryptis,,Tympanocryptis
2150,Tympanocryptis_cephalus,Tympanocryptis,,Tympanocryptis
2151,Tympanocryptis_lineata,Tympanocryptis,,Tympanocryptis
2152,Tympanocryptis_pinguicolla,Tympanocryptis,,Tympanocryptis
2153,Diporiphora_superba,Diporiphora,,Diporiphora
2154,Diporiphora_reginae,Diporiphora,,Diporiphora
2155,Diporiphora_winneckei,Diporiphora,,Diporiphora
2156,Diporiphora_linga,Diporiphora,,Diporiphora
2157,Diporiphora_bilineata,Diporiphora,,Diporiphora
2158,Diporiphora_magna,Diporiphora,,Diporiphora
2159,Diporiphora_pindan,Diporiphora,,Diporiphora
2160,Diporiphora_valens,Diporiphora,,Diporiphora
2161,Diporiphora_amphiboluroides,Diporiphora,,Diporiphora
2162,Diporiphora_nobbi,Diporiphora,,Diporiphora
2163,Diporiphora_australis,Diporiphora,,Diporiphora
2164,Diporiphora_bennettii,Diporiphora,,Diporiphora
2165,Diporiphora_albilabris,Diporiphora,,Diporiphora
2166,Diporiphora_lalliae,Diporiphora,,Diporiphora
2167,Diporiphora_arnhemica,Diporiphora,,Diporiphora
2168,Laudakia_nupta,Laudakia,,Laudakia
2169,Laudakia_sacra,Laudakia,,Laudakia
2170,Laudakia_tuberculata,Laudakia,,Laudakia
2171,Stellagama_stellio,Stellagama,,Stellagama
2172,Paralaudakia_lehmanni,Paralaudakia,,Paralaudakia
2173,Paralaudakia_stoliczkana,Paralaudakia,,Paralaudakia
2174,Paralaudakia_himalayana,Paralaudakia,,Paralaudakia
2175,Paralaudakia_microlepis,Paralaudakia,,Paralaudakia
2176,Paralaudakia_erythrogaster,Paralaudakia,,Paralaudakia
2177,Paralaudakia_caucasia,Paralaudakia,,Paralaudakia
2178,Phrynocephalus_scutellatus,Phrynocephalus,,Phrynocephalus
2179,Phrynocephalus_interscapularis,Phrynocephalus,,Phrynocephalus
2180,Phrynocephalus_forsythii,Phrynocephalus,,Phrynocephalus
2181,Phrynocephalus_theobaldi,Phrynocephalus,,Phrynocephalus
2182,Phrynocephalus_putjatai,Phrynocephalus,,Phrynocephalus
2183,Phrynocephalus_vlangalii,Phrynocephalus,,Phrynocephalus
2184,Phrynocephalus_theobaldi2,Phrynocephalus,,Phrynocephalus
2185,Phrynocephalus_axillaris,Phrynocephalus,,Phrynocephalus
2186,Phrynocephalus_mystaceus,Phrynocephalus,,Phrynocephalus
2187,Phrynocephalus_helioscopus,Phrynocephalus,,Phrynocephalus
2188,Phrynocephalus_raddei,Phrynocephalus,,Phrynocephalus
2189,Phrynocephalus_przewalskii,Phrynocephalus,,Phrynocephalus
2190,Phrynocephalus_versicolor,Phrynocephalus,,Phrynocephalus
2191,Phrynocephalus_guttatus2,Phrynocephalus,,Phrynocephalus
2192,Phrynocephalus_guttatus3,Phrynocephalus,,Phrynocephalus
2193,Phrynocephalus_guttatus,Phrynocephalus,,Phrynocephalus
2194,Pseudotrapelus_sinaitus,Pseudotrapelus,,Pseudotrapelus
2195,Acanthocercus_atricollis,Acanthocercus,,Acanthocercus
2196,Xenagama_taylori,Xenagama,,Xenagama
2197,Bufoniceps_laungwalaensis,Bufoniceps,,Bufoniceps
2198,Trapelus_mutabilis,Trapelus,,Trapelus
2199,Trapelus_sanguinolentus,Trapelus,,Trapelus
2200,Trapelus_agilis,Trapelus,,Trapelus
2201,Trapelus_savignii,Trapelus,,Trapelus
2202,Trapelus_flavimaculatus,Trapelus,,Trapelus
2203,Trapelus_ruderatus,Trapelus,,Trapelus
2204,Trapelus_mutabilis2,Trapelus,,Trapelus
2205,Agama_spinosa,Agama,,Agama
2206,Agama_boueti,Agama,,Agama
2207,Agama_boueti2,Agama,,Agama
2208,Agama_impalearis,Agama,,Agama
2209,Agama_boulengeri,Agama,,Agama
2210,Agama_insularis,Agama,,Agama
2211,Agama_gracilimembris,Agama,,Agama
2212,Agama_weidholzi,Agama,,Agama
2213,Agama_anchietae,Agama,,Agama
2214,Agama_atra,Agama,,Agama
2215,Agama_hispida,Agama,,Agama
2216,Agama_armata,Agama,,Agama
2217,Agama_aculeata,Agama,,Agama
2218,Agama_caudospinosa,Agama,,Agama
2219,Agama_rueppelli,Agama,,Agama
2220,Agama_lionotus,Agama,,Agama
2221,Agama_mwanzae,Agama,,Agama
2222,Agama_kaimosae,Agama,,Agama
2223,Agama_sankaranica,Agama,,Agama
2224,Agama_doriae,Agama,,Agama
2225,Agama_agama,Agama,,Agama
2226,Agama_finchi,Agama,,Agama
2227,Agama_paragama,Agama,,Agama
2228,Agama_planiceps,Agama,,Agama
2229,Mantheyus_phuwuanensis,Mantheyus,,Mantheyus
2230,Ptyctolaemus_gularis,Ptyctolaemus,,Ptyctolaemus
2231,Ptyctolaemus_collicristatus,Ptyctolaemus,,Ptyctolaemus
2232,Japalura_variegata,Japalura,,Japalura
2233,Japalura_tricarinata,Japalura,,Japalura
2234,Draco_dussumieri,Draco,,Draco
2235,Draco_maculatus,Draco,,Draco
2236,Draco_cristatellus,Draco,,Draco
2237,Draco_fimbriatus,Draco,,Draco
2238,Draco_mindanensis,Draco,,Draco
2239,Draco_maximus,Draco,,Draco
2240,Draco_quinquefasciatus,Draco,,Draco
2241,Draco_blanfordii,Draco,,Draco
2242,Draco_taeniopterus,Draco,,Draco
2243,Draco_obscurus,Draco,,Draco
2244,Draco_melanopogon,Draco,,Draco
2245,Draco_haematopogon,Draco,,Draco
2246,Draco_indochinensis,Draco,,Draco
2247,Draco_lineatus,Draco,,Draco
2248,Draco_bimaculatus,Draco,,Draco
2249,Draco_beccarii,Draco,,Draco
2250,Draco_rhytisma,Draco,,Draco
2251,Draco_bourouniensis,Draco,,Draco
2252,Draco_spilonotus,Draco,,Draco
2253,Draco_caerulhians,Draco,,Draco
2254,Draco_biaro,Draco,,Draco
2255,Draco_volans,Draco,,Draco
2256,Draco_timorensis,Draco,,Draco
2257,Draco_boschmai,Draco,,Draco
2258,Draco_reticulatus,Draco,,Draco
2259,Draco_cyanopterus,Draco,,Draco
2260,Draco_quadrasi,Draco,,Draco
2261,Draco_ornatus,Draco,,Draco
2262,Draco_palawanensis,Draco,,Draco
2263,Draco_cornutus,Draco,,Draco
2264,Draco_spilopterus,Draco,,Draco
2265,Draco_guentheri,Draco,,Draco
2266,Salea_horsfieldii,Salea,,Salea
2267,Gonocephalus_robinsonii,Gonocephalus,,Gonocephalus
2268,Japalura_polygonata,Japalura,,Japalura
2269,Acanthosaura_capra,Acanthosaura,,Acanthosaura
2270,Acanthosaura_armata,Acanthosaura,,Acanthosaura
2271,Acanthosaura_crucigera,Acanthosaura,,Acanthosaura
2272,Acanthosaura_lepidogaster,Acanthosaura,,Acanthosaura
2273,Otocryptis_wiegmanni,Otocryptis,,Otocryptis
2274,Sitana_ponticeriana,Sitana,,Sitana
2275,Japalura_flaviceps,Japalura,,Japalura
2276,Japalura_splendida,Japalura,,Japalura
2277,Pseudocalotes_kakhienensis,Pseudocalotes,,Pseudocalotes
2278,Pseudocalotes_flavigula,Pseudocalotes,,Pseudocalotes
2279,Pseudocalotes_brevipes,Pseudocalotes,,Pseudocalotes
2280,Calotes_mystaceus,Calotes,,Calotes
2281,Calotes_chincollium,Calotes,,Calotes
2282,Calotes_emma,Calotes,,Calotes
2283,Calotes_irawadi,Calotes,,Calotes
2284,Calotes_versicolor,Calotes,,Calotes
2285,Calotes_htunwini,Calotes,,Calotes
2286,Calotes_calotes,Calotes,,Calotes
2287,Calotes_liolepis,Calotes,,Calotes
2288,Calotes_nigrilabris,Calotes,,Calotes
2289,Calotes_ceylonensis,Calotes,,Calotes
2290,Calotes_liocephalus,Calotes,,Calotes
2291,Coryphophylax_subcristatus,Coryphophylax,,Coryphophylax
2292,Aphaniotis_fusca,Aphaniotis,,Aphaniotis
2293,Bronchocela_cristatella,Bronchocela,,Bronchocela
2294,Gonocephalus_grandis,Gonocephalus,,Gonocephalus
2295,Gonocephalus_chamaeleontinus,Gonocephalus,,Gonocephalus
2296,Gonocephalus_kuhlii,Gonocephalus,,Gonocephalus
2297,Phoxophrys_nigrilabris,Phoxophrys,,Phoxophrys
2298,Lyriocephalus_scutatus,Lyriocephalus,,Lyriocephalus
2299,Cophotis_ceylanica,Cophotis,,Cophotis
2300,Cophotis_dumbara,Cophotis,,Cophotis
2301,Ceratophora_aspera,Ceratophora,,Ceratophora
2302,Ceratophora_karu,Ceratophora,,Ceratophora
2303,Ceratophora_stoddartii,Ceratophora,,Ceratophora
2304,Ceratophora_erdeleni,Ceratophora,,Ceratophora
2305,Leiocephalus_raviceps,Leiocephalus,,Leiocephalus
2306,Leiocephalus_carinatus,Leiocephalus,,Leiocephalus
2307,Leiocephalus_psammodromus,Leiocephalus,,Leiocephalus
2308,Leiocephalus_personatus,Leiocephalus,,Leiocephalus
2309,Leiocephalus_barahonensis,Leiocephalus,,Leiocephalus
2310,Leiocephalus_schreibersii,Leiocephalus,,Leiocephalus
2311,Dipsosaurus_dorsalis,Dipsosaurus,,Dipsosaurus
2312,Brachylophus_vitiensis,Brachylophus,,Brachylophus
2313,Brachylophus_fasciatus,Brachylophus,,Brachylophus
2314,Iguana_iguana,Iguana,,Iguana
2315,Iguana_delicatissima,Iguana,,Iguana
2316,Sauromalus_ater,Sauromalus,,Sauromalus
2317,Sauromalus_klauberi,Sauromalus,,Sauromalus
2318,Sauromalus_hispidus,Sauromalus,,Sauromalus
2319,Sauromalus_varius,Sauromalus,,Sauromalus
2320,Cyclura_pinguis,Cyclura,,Cyclura
2321,Cyclura_cornuta,Cyclura,,Cyclura
2322,Cyclura_ricordi,Cyclura,,Cyclura
2323,Cyclura_carinata,Cyclura,,Cyclura
2324,Cyclura_collei,Cyclura,,Cyclura
2325,Cyclura_rileyi,Cyclura,,Cyclura
2326,Cyclura_nubila,Cyclura,,Cyclura
2327,Cyclura_cychlura,Cyclura,,Cyclura
2328,Amblyrhynchus_cristatus,Amblyrhynchus,,Amblyrhynchus
2329,Conolophus_pallidus,Conolophus,,Conolophus
2330,Conolophus_subcristatus,Conolophus,,Conolophus
2331,Ctenosaura_similis,Ctenosaura,,Ctenosaura
2332,Ctenosaura_hemilopha,Ctenosaura,,Ctenosaura
2333,Ctenosaura_acanthura,Ctenosaura,,Ctenosaura
2334,Ctenosaura_pectinata,Ctenosaura,,Ctenosaura
2335,Ctenosaura_melanosterna,Ctenosaura,,Ctenosaura
2336,Ctenosaura_bakeri,Ctenosaura,,Ctenosaura
2337,Ctenosaura_oedirhina,Ctenosaura,,Ctenosaura
2338,Ctenosaura_oaxacana,Ctenosaura,,Ctenosaura
2339,Ctenosaura_quinquecarinata,Ctenosaura,,Ctenosaura
2340,Ctenosaura_flavidorsalis,Ctenosaura,,Ctenosaura
2341,Ctenosaura_palearis,Ctenosaura,,Ctenosaura
2342,Hoplocercus_spinosus,Hoplocercus,,Hoplocercus
2343,Morunasaurus_annularis,Morunasaurus,,Morunasaurus
2344,Enyalioides_heterolepis,Enyalioides,,Enyalioides
2345,Enyalioides_laticeps,Enyalioides,,Enyalioides
2346,Enyalioides_oshaughnessyi,Enyalioides,,Enyalioides
2347,Enyalioides_palpebralis,Enyalioides,,Enyalioides
2348,Enyalioides_praestabilis,Enyalioides,,Enyalioides
2349,Enyalioides_microlepis,Enyalioides,,Enyalioides
2350,Laemanctus_longipes,Laemanctus,,Laemanctus
2351,Corytophanes_percarinatus,Corytophanes,,Corytophanes
2352,Corytophanes_cristatus,Corytophanes,,Corytophanes
2353,Basiliscus_galeritus,Basiliscus,,Basiliscus
2354,Basiliscus_vittatus,Basiliscus,,Basiliscus
2355,Basiliscus_basiliscus,Basiliscus,,Basiliscus
2356,Basiliscus_plumifrons,Basiliscus,,Basiliscus
2357,Gambelia_wislizenii,Gambelia,,Gambelia
2358,Gambelia_copeii,Gambelia,,Gambelia
2359,Gambelia_sila,Gambelia,,Gambelia
2360,Crotaphytus_antiquus,Crotaphytus,,Crotaphytus
2361,Crotaphytus_reticulatus,Crotaphytus,,Crotaphytus
2362,Crotaphytus_bicinctores,Crotaphytus,,Crotaphytus
2363,Crotaphytus_nebrius,Crotaphytus,,Crotaphytus
2364,Crotaphytus_collaris,Crotaphytus,,Crotaphytus
2365,Crotaphytus_vestigium,Crotaphytus,,Crotaphytus
2366,Crotaphytus_insularis,Crotaphytus,,Crotaphytus
2367,Crotaphytus_grismeri,Crotaphytus,,Crotaphytus
2368,Stenocercus_ochoai,Stenocercus,,Stenocercus
2369,Stenocercus_formosus,Stenocercus,,Stenocercus
2370,Stenocercus_apurimacus,Stenocercus,,Stenocercus
2371,Stenocercus_scapularis,Stenocercus,,Stenocercus
2372,Stenocercus_roseiventris,Stenocercus,,Stenocercus
2373,Stenocercus_azureus,Stenocercus,,Stenocercus
2374,Stenocercus_doellojuradoi,Stenocercus,,Stenocercus
2375,Stenocercus_caducus,Stenocercus,,Stenocercus
2376,Stenocercus_limitaris,Stenocercus,,Stenocercus
2377,Stenocercus_percultus,Stenocercus,,Stenocercus
2378,Stenocercus_ornatus,Stenocercus,,Stenocercus
2379,Stenocercus_iridescens,Stenocercus,,Stenocercus
2380,Stenocercus_puyango,Stenocercus,,Stenocercus
2381,Stenocercus_rhodomelas,Stenocercus,,Stenocercus
2382,Stenocercus_angulifer,Stenocercus,,Stenocercus
2383,Stenocercus_chota,Stenocercus,,Stenocercus
2384,Stenocercus_festae,Stenocercus,,Stenocercus
2385,Stenocercus_angel,Stenocercus,,Stenocercus
2386,Stenocercus_guentheri,Stenocercus,,Stenocercus
2387,Stenocercus_humeralis,Stenocercus,,Stenocercus
2388,Stenocercus_marmoratus,Stenocercus,,Stenocercus
2389,Stenocercus_crassicaudatus,Stenocercus,,Stenocercus
2390,Stenocercus_torquatus,Stenocercus,,Stenocercus
2391,Stenocercus_varius,Stenocercus,,Stenocercus
2392,Stenocercus_imitator,Stenocercus,,Stenocercus
2393,Stenocercus_empetrus,Stenocercus,,Stenocercus
2394,Stenocercus_eunetopsis,Stenocercus,,Stenocercus
2395,Stenocercus_boettgeri,Stenocercus,,Stenocercus
2396,Stenocercus_cupreus,Stenocercus,,Stenocercus
2397,Stenocercus_ornatissimus,Stenocercus,,Stenocercus
2398,Stenocercus_chrysopygus,Stenocercus,,Stenocercus
2399,Stenocercus_stigmosus,Stenocercus,,Stenocercus
2400,Stenocercus_melanopygus,Stenocercus,,Stenocercus
2401,Stenocercus_latebrosus,Stenocercus,,Stenocercus
2402,Stenocercus_orientalis,Stenocercus,,Stenocercus
2403,Microlophus_thoracicus,Microlophus,,Microlophus
2404,Microlophus_theresiae,Microlophus,,Microlophus
2405,Microlophus_heterolepis,Microlophus,,Microlophus
2406,Microlophus_tigris,Microlophus,,Microlophus
2407,Microlophus_peruvianus,Microlophus,,Microlophus
2408,Microlophus_quadrivittatus,Microlophus,,Microlophus
2409,Microlophus_atacamensis,Microlophus,,Microlophus
2410,Microlophus_theresioides,Microlophus,,Microlophus
2411,Microlophus_yanezi,Microlophus,,Microlophus
2412,Microlophus_koepckeorum,Microlophus,,Microlophus
2413,Microlophus_occipitalis,Microlophus,,Microlophus
2414,Microlophus_bivittatus,Microlophus,,Microlophus
2415,Microlophus_habelii,Microlophus,,Microlophus
2416,Microlophus_stolzmanni,Microlophus,,Microlophus
2417,Microlophus_delanonis,Microlophus,,Microlophus
2418,Microlophus_grayii,Microlophus,,Microlophus
2419,Microlophus_pacificus,Microlophus,,Microlophus
2420,Microlophus_albemarlensis,Microlophus,,Microlophus
2421,Microlophus_duncanensis,Microlophus,,Microlophus
2422,Uranoscodon_superciliosus,Uranoscodon,,Uranoscodon
2423,Tropidurus_bogerti,Tropidurus,,Tropidurus
2424,Uracentron_flaviceps,Uracentron,,Uracentron
2425,Strobilurus_torquatus,Strobilurus,,Strobilurus
2426,Plica_umbra,Plica,,Plica
2427,Plica_lumaria,Plica,,Plica
2428,Plica_plica,Plica,,Plica
2429,Tropidurus_spinulosus,Tropidurus,,Tropidurus
2430,Tropidurus_callathelys,Tropidurus,,Tropidurus
2431,Eurolophosaurus_divaricatus,Eurolophosaurus,,Eurolophosaurus
2432,Eurolophosaurus_amathites,Eurolophosaurus,,Eurolophosaurus
2433,Eurolophosaurus_nanuzae,Eurolophosaurus,,Eurolophosaurus
2434,Tropidurus_hygomi,Tropidurus,,Tropidurus
2435,Tropidurus_montanus,Tropidurus,,Tropidurus
2436,Tropidurus_psammonastes,Tropidurus,,Tropidurus
2437,Tropidurus_itambere,Tropidurus,,Tropidurus
2438,Tropidurus_mucujensis,Tropidurus,,Tropidurus
2439,Tropidurus_erythrocephalus,Tropidurus,,Tropidurus
2440,Tropidurus_cocorobensis,Tropidurus,,Tropidurus
2441,Tropidurus_etheridgei,Tropidurus,,Tropidurus
2442,Tropidurus_insulanus,Tropidurus,,Tropidurus
2443,Tropidurus_oreadicus,Tropidurus,,Tropidurus
2444,Tropidurus_torquatus,Tropidurus,,Tropidurus
2445,Tropidurus_hispidus,Tropidurus,,Tropidurus
2446,Chalarodon_madagascariensis,Chalarodon,,Chalarodon
2447,Oplurus_cyclurus,Oplurus,,Oplurus
2448,Oplurus_cuvieri,Oplurus,,Oplurus
2449,Oplurus_quadrimaculatus,Oplurus,,Oplurus
2450,Oplurus_saxicola,Oplurus,,Oplurus
2451,Oplurus_grandidieri,Oplurus,,Oplurus
2452,Oplurus_fierinensis,Oplurus,,Oplurus
2453,Enyalius_leechii,Enyalius,,Enyalius
2454,Enyalius_bilineatus,Enyalius,,Enyalius
2455,Urostrophus_vautieri,Urostrophus,,Urostrophus
2456,Urostrophus_gallardoi,Urostrophus,,Urostrophus
2457,Anisolepis_longicauda,Anisolepis,,Anisolepis
2458,Pristidactylus_torquatus,Pristidactylus,,Pristidactylus
2459,Diplolaemus_darwinii,Diplolaemus,,Diplolaemus
2460,Pristidactylus_scapulatus,Pristidactylus,,Pristidactylus
2461,Leiosaurus_bellii,Leiosaurus,,Leiosaurus
2462,Leiosaurus_catamarcensis,Leiosaurus,,Leiosaurus
2463,Leiosaurus_paronae,Leiosaurus,,Leiosaurus
2464,Ctenoblepharys_adspersa,Ctenoblepharys,,Ctenoblepharys
2465,Phymaturus_indistinctus,Phymaturus,,Phymaturus
2466,Phymaturus_somuncurensis,Phymaturus,,Phymaturus
2467,Phymaturus_patagonicus,Phymaturus,,Phymaturus
2468,Phymaturus_vociferator,Phymaturus,,Phymaturus
2469,Phymaturus_palluma,Phymaturus,,Phymaturus
2470,Phymaturus_punae,Phymaturus,,Phymaturus
2471,Phymaturus_antofagastensis,Phymaturus,,Phymaturus
2472,Phymaturus_mallimaccii,Phymaturus,,Phymaturus
2473,Liolaemus_tenuis,Liolaemus,,Liolaemus
2474,Liolaemus_lemniscatus,Liolaemus,,Liolaemus
2475,Liolaemus_nitidus,Liolaemus,,Liolaemus
2476,Liolaemus_monticola,Liolaemus,,Liolaemus
2477,Liolaemus_fuscus,Liolaemus,,Liolaemus
2478,Liolaemus_nigroviridis,Liolaemus,,Liolaemus
2479,Liolaemus_zapallarensis,Liolaemus,,Liolaemus
2480,Liolaemus_atacamensis,Liolaemus,,Liolaemus
2481,Liolaemus_paulinae,Liolaemus,,Liolaemus
2482,Liolaemus_platei,Liolaemus,,Liolaemus
2483,Liolaemus_pseudolemniscatus,Liolaemus,,Liolaemus
2484,Liolaemus_nigromaculatus,Liolaemus,,Liolaemus
2485,Liolaemus_buergeri,Liolaemus,,Liolaemus
2486,Liolaemus_ceii,Liolaemus,,Liolaemus
2487,Liolaemus_leopardinus,Liolaemus,,Liolaemus
2488,Liolaemus_elongatus,Liolaemus,,Liolaemus
2489,Liolaemus_kriegi,Liolaemus,,Liolaemus
2490,Liolaemus_petrophilus,Liolaemus,,Liolaemus
2491,Liolaemus_thermarum,Liolaemus,,Liolaemus
2492,Liolaemus_austromendocinus,Liolaemus,,Liolaemus
2493,Liolaemus_dicktracyi,Liolaemus,,Liolaemus
2494,Liolaemus_heliodermis,Liolaemus,,Liolaemus
2495,Liolaemus_capillitas,Liolaemus,,Liolaemus
2496,Liolaemus_umbrifer,Liolaemus,,Liolaemus
2497,Liolaemus_coeruleus,Liolaemus,,Liolaemus
2498,Liolaemus_bellii,Liolaemus,,Liolaemus
2499,Liolaemus_gravenhorstii,Liolaemus,,Liolaemus
